"Rationale","Fbar (2018)","Catch (2018)","SSB (2018)","TSB (2018)","Fbar (2019)","Catch (2019)","SSB (2019)","TSB (2019)","SSB (2020)","TSB (2020)"
Fmult(2017) = 0.300,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.3,523011.790527545,2081538.13332686,2667210.24350512,2140690.11504418,2718721.11164917
Fmult(2017) = 0.310,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.31,538180.992683354,2078757.79981062,2667210.24350512,2126531.90509166,2705758.69222287
Fmult(2017) = 0.320,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.32,553219.251766993,2075982.14123016,2667210.24350512,2112519.67097573,2692910.1693308
Fmult(2017) = 0.330,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.33,568127.868548696,2073211.14918863,2667210.24350512,2098651.69379547,2680174.39461129
Fmult(2017) = 0.340,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.34,582908.130289842,2070444.81530464,2667210.24350512,2084926.27577461,2667550.23175004
Fmult(2017) = 0.350,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.35,597561.310886466,2067683.13121225,2667210.24350512,2071341.73999665,2655036.55635123
Fmult(2017) = 0.360,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.36,612088.671011223,2064926.08856096,2667210.24350512,2057896.43014325,2642632.25581001
Fmult(2017) = 0.370,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.37,626491.458253825,2062173.67901561,2667210.24350512,2044588.71023604,2630336.22918636
Fmult(2017) = 0.380,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.38,640770.907259956,2059425.89425645,2667210.24350512,2031416.96438162,2618147.3870804
Fmult(2017) = 0.390,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.39,654928.239868694,2056682.72597904,2667210.24350512,2018379.59651987,2606064.65150893
Fmult(2017) = 0.400,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.4,668964.665248453,2053944.16589422,2667210.24350512,2005475.03017544,2594086.95578337
Fmult(2017) = 0.410,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.41,682881.380031452,2051210.20572814,2667210.24350512,1992701.70821235,2582213.24438907
Fmult(2017) = 0.420,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.42,696679.568446742,2048480.83722216,2667210.24350512,1980058.09259177,2570442.47286585
Fmult(2017) = 0.430,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.43,710360.402451796,2045756.05213289,2667210.24350512,1967542.66413283,2558773.60768984
Fmult(2017) = 0.440,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.44,723925.041862685,2043035.8422321,2667210.24350512,1955153.92227648,2547205.62615667
Fmult(2017) = 0.450,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.45,737374.634482839,2040320.19930673,2667210.24350512,1942890.38485236,2535737.51626585
Fmult(2017) = 0.460,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.46,750710.316230441,2037609.11515885,2667210.24350512,1930750.58784862,2524368.27660644
Fmult(2017) = 0.470,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.47,763933.211264428,2034902.58160563,2667210.24350512,1918733.08518461,2513096.91624393
Fmult(2017) = 0.480,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.48,777044.432109151,2032200.59047932,2667210.24350512,1906836.44848659,2501922.45460841
Fmult(2017) = 0.490,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.49,790045.07977768,2029503.13362721,2667210.24350512,1895059.26686609,2490843.92138386
Fmult(2017) = 0.500,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.5,802936.243893791,2026810.2029116,2667210.24350512,1883400.14670129,2479860.35639871
Fmult(2017) = 0.510,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.51,815719.002812637,2024121.7902098,2667210.24350512,1871857.711421,2468970.80951756
Fmult(2017) = 0.520,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.52,828394.423740111,2021437.88741406,2667210.24350512,1860430.60129146,2458174.34053403
Fmult(2017) = 0.530,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.53,840963.562850941,2018758.48643158,2667210.24350512,1849117.47320585,2447470.01906487
Fmult(2017) = 0.540,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.54,853427.465405498,2016083.57918445,2667210.24350512,1837917.00047645,2436856.92444514
Fmult(2017) = 0.550,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.55,865787.165865359,2013413.15760966,2667210.24350512,1826827.87262942,2426334.14562449
Fmult(2017) = 0.560,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.56,878043.688007617,2010747.21365902,2667210.24350512,1815848.7952022,2415900.78106469
Fmult(2017) = 0.570,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.57,890198.045037967,2008085.73929919,2667210.24350512,1804978.48954348,2405555.93863814
Fmult(2017) = 0.580,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.58,902251.239702575,2005428.72651161,2667210.24350512,1794215.69261567,2395298.73552753
Fmult(2017) = 0.590,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.59,914204.264398743,2002776.16729249,2667210.24350512,1783559.15679996,2385128.29812662
Fmult(2017) = 0.600,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.6,926058.101284384,2000128.05365277,2667210.24350512,1773007.64970372,2375043.76194203
Fmult(2017) = 0.610,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.61,937813.722386316,1997484.37761812,2667210.24350512,1762559.95397043,2365044.2714961
Fmult(2017) = 0.620,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.62,949472.089707402,1994845.13122888,2667210.24350512,1752214.86709204,2355128.98023088
Fmult(2017) = 0.630,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.63,961034.155332527,1992210.30654004,2667210.24350512,1741971.20122357,2345297.05041304
Fmult(2017) = 0.640,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.64,972500.86153344,1989579.89562125,2667210.24350512,1731827.78300026,2335547.65303988
Fmult(2017) = 0.650,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.65,983873.140872475,1986953.89055672,2667210.24350512,1721783.45335681,2325879.96774636
Fmult(2017) = 0.660,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.66,995151.916305147,1984332.28344527,2667210.24350512,1711837.06734909,2316293.1827131
Fmult(2017) = 0.670,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.67,1006338.10128165,1981715.06640024,2667210.24350512,1701987.49397804,2306786.49457538
