"Rationale","Fbar (2018)","Catch (2018)","SSB (2018)","TSB (2018)","Fbar (2019)","Catch (2019)","SSB (2019)","TSB (2019)","SSB (2020)","TSB (2020)"
Fmult(2017) = 0.540,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.246783141426401,438163.261963346,2088612.84370389,2658309.15551512,2244263.92694014,2782623.96587358
Fmult(2017) = 0.550,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.251353199600964,445411.278113845,2087335.92770378,2658309.15551512,2237182.28412436,2776424.60830323
Fmult(2017) = 0.560,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.255923257775527,452630.434046719,2086059.99361812,2658309.15551512,2230109.1228612,2770250.37567144
Fmult(2017) = 0.570,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.26049331595009,459820.861449399,2084785.04064056,2658309.15551512,2223044.58690008,2764101.15164684
Fmult(2017) = 0.580,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.265063374124653,466982.691381817,2083511.06796542,2658309.15551512,2215988.8186752,2757976.82045794
Fmult(2017) = 0.590,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.269633432299216,474116.054279458,2082238.07478771,2658309.15551512,2208941.95930469,2751877.26689035
Fmult(2017) = 0.600,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.274203490473779,481221.07995641,2080966.06030311,2658309.15551512,2201904.14858989,2745802.37628409
Fmult(2017) = 0.610,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.278773548648342,488297.897608382,2079695.02370798,2658309.15551512,2194875.52501473,2739752.03453086
Fmult(2017) = 0.620,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.283343606822905,495346.635815724,2078424.96419936,2658309.15551512,2187856.22574527,2733726.12807132
Fmult(2017) = 0.630,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.287913664997468,502367.422546423,2077155.88097497,2658309.15551512,2180846.38662932,2727724.5438924
Fmult(2017) = 0.640,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.292483723172031,509360.385159081,2075887.77323319,2658309.15551512,2173846.1421962,2721747.16952462
Fmult(2017) = 0.650,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.297053781346594,516325.650405888,2074620.6401731,2658309.15551512,2166855.62565654,2715793.89303945
Fmult(2017) = 0.660,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.301623839521157,523263.344435574,2073354.48099443,2658309.15551512,2159874.96890235,2709864.60304661
Fmult(2017) = 0.670,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.30619389769572,530173.592796347,2072089.29489761,2658309.15551512,2152904.30250699,2703959.18869148
Fmult(2017) = 0.680,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.310763955870283,537056.520438816,2070825.0810837,2658309.15551512,2145943.75572548,2698077.53965244
Fmult(2017) = 0.690,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.315334014044846,543912.251718902,2069561.83875449,2658309.15551512,2138993.4564947,2692219.54613825
Fmult(2017) = 0.700,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.319904072219409,550740.910400735,2068299.5671124,2658309.15551512,2132053.53143391,2686385.09888549
Fmult(2017) = 0.710,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.324474130393971,557542.61965953,2067038.26536053,2658309.15551512,2125124.10584518,2680574.08915592
Fmult(2017) = 0.720,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.329044188568535,564317.502084461,2065777.93270267,2658309.15551512,2118205.30371411,2674786.40873397
Fmult(2017) = 0.730,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.333614246743097,571065.679681505,2064518.56834327,2658309.15551512,2111297.24771051,2669021.9499241
Fmult(2017) = 0.740,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.33818430491766,577787.273876288,2063260.17148743,2658309.15551512,2104400.0591893,2663280.60554831
Fmult(2017) = 0.750,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.342754363092223,584482.405516902,2062002.74134095,2658309.15551512,2097513.85819142,2657562.2689436
Fmult(2017) = 0.760,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.347324421266786,591151.194876725,2060746.27711028,2658309.15551512,2090638.76344495,2651866.83395939
Fmult(2017) = 0.770,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.351894479441349,597793.761657207,2059490.77800255,2658309.15551512,2083774.89236621,2646194.1949551
Fmult(2017) = 0.780,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.356464537615912,604410.224990661,2058236.24322555,2658309.15551512,2076922.36106112,2640544.24679755
Fmult(2017) = 0.790,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.361034595790475,611000.703443028,2056982.67198774,2658309.15551512,2070081.28432646,2634916.88485855
Fmult(2017) = 0.800,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.365604653965038,617565.315016633,2055730.06349824,2658309.15551512,2063251.77565148,2629312.0050124
Fmult(2017) = 0.810,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.370174712139601,624104.177152927,2054478.41696685,2658309.15551512,2056433.94721935,2623729.50363342
