"Rationale","Fbar (2018)","Catch (2018)","SSB (2018)","TSB (2018)","Fbar (2019)","Catch (2019)","SSB (2019)","TSB (2019)","SSB (2020)","TSB (2020)"
Fmult(2017) = 1.360,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.3886937344344,1195725.18749598,3933793.21945993,4835755.90416082,3412707.03582383,4274301.93562321
Fmult(2017) = 1.370,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.391551776599359,1203117.44957264,3932320.23261369,4835755.90416082,3403835.63379909,4268062.81307023
Fmult(2017) = 1.380,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.394409818764317,1210491.83006211,3930847.93035592,4835755.90416082,3394971.08486197,4261839.19739393
Fmult(2017) = 1.390,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.397267860929276,1217848.37889299,3929376.31234209,4835755.90416082,3386113.51248375,4255631.04456701
Fmult(2017) = 1.400,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.400125903094235,1225187.14584646,3927905.37822787,4835755.90416082,3377263.03937861,4249438.31069355
Fmult(2017) = 1.410,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.402983945259194,1232508.18055674,3926435.12766912,4835755.90416082,3368419.78750236,4243260.95200859
Fmult(2017) = 1.420,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.405841987424153,1239811.53251148,3924965.56032186,4835755.90416082,3359583.8780513,4237098.92487774
Fmult(2017) = 1.430,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.408700029589111,1247097.25105227,3923496.6758423,4835755.90416082,3350755.43146102,4230952.18579679
Fmult(2017) = 1.440,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.41155807175407,1254365.38537506,3922028.47388682,4835755.90416082,3341934.56740534,4224820.6913913
Fmult(2017) = 1.450,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.414416113919029,1261615.98453057,3920560.954112,4835755.90416082,3333121.40479523,4218704.39841619
Fmult(2017) = 1.460,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.417274156083988,1268849.09742479,3919094.11617456,4835755.90416082,3324316.0617778,4212603.26375537
Fmult(2017) = 1.470,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.420132198248947,1276064.77281937,3917627.95973145,4835755.90416082,3315518.65573531,4206517.24442134
Fmult(2017) = 1.480,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.422990240413906,1283263.05933207,3916162.48443976,4835755.90416082,3306729.30328428,4200446.29755478
Fmult(2017) = 1.490,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.425848282578864,1290444.00543721,3914697.68995677,4835755.90416082,3297948.1202746,4194390.38042418
Fmult(2017) = 1.500,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.428706324743823,1297607.65946612,3913233.57593994,4835755.90416082,3289175.22178863,4188349.45042544
Fmult(2017) = 1.510,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.431564366908782,1304754.0696075,3911770.14204692,4835755.90416082,3280410.7221405,4182323.46508147
Fmult(2017) = 1.520,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.434422409073741,1311883.28390796,3910307.38793552,4835755.90416082,3271654.73487526,4176312.38204183
Fmult(2017) = 1.530,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.4372804512387,1318995.35027235,3908845.31326374,4835755.90416082,3262907.37276824,4170316.15908231
Fmult(2017) = 1.540,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.440138493403659,1326090.31646427,3907383.91768975,4835755.90416082,3254168.74782434,4164334.75410456
Fmult(2017) = 1.550,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.442996535568617,1333168.23010644,3905923.20087191,4835755.90416082,3245438.97127741,4158368.12513572
Fmult(2017) = 1.560,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.445854577733576,1340229.13868116,3904463.16246875,4835755.90416082,3236718.15358968,4152416.23032799
Fmult(2017) = 1.570,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.448712619898535,1347273.08953073,3903003.80213898,4835755.90416082,3228006.40445119,4146479.02795833
Fmult(2017) = 1.580,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.451570662063494,1354300.12985786,3901545.11954148,4835755.90416082,3219303.83277933,4140556.47642798
Fmult(2017) = 1.590,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.454428704228453,1361310.30672613,3900087.11433532,4835755.90416082,3210610.54671834,4134648.53426214
Fmult(2017) = 1.600,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.457286746393411,1368303.66706036,3898629.78617975,4835755.90416082,3201926.6536389,4128755.16010961
Fmult(2017) = 1.610,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.46014478855837,1375280.25764707,3897173.13473418,4835755.90416082,3193252.26013778,4122876.31274235
Fmult(2017) = 1.620,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.463002830723329,1382240.12513488,3895717.15965823,4835755.90416082,3184587.47203749,4117011.95105514
Fmult(2017) = 1.630,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.465860872888288,1389183.31603496,3894261.86061165,4835755.90416082,3175932.39438596,4111162.03406521
Fmult(2017) = 1.640,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.468718915053247,1396109.87672139,3892807.23725441,4835755.90416082,3167287.13145632,4105326.52091186
Fmult(2017) = 1.650,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.471576957218206,1403019.85343163,3891353.28924664,4835755.90416082,3158651.78674668,4099505.37085607
Fmult(2017) = 1.660,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.474434999383164,1409913.2922669,3889900.01624865,4835755.90416082,3150026.46297995,4093698.54328017
Fmult(2017) = 1.670,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.477293041548123,1416790.23919261,3888447.41792092,4835755.90416082,3141411.26210371,4087905.9976874
Fmult(2017) = 1.680,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.480151083713082,1423650.74003878,3886995.49392412,4835755.90416082,3132806.28529011,4082127.69370161
Fmult(2017) = 1.690,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.483009125878041,1430494.8405004,3885544.24391909,4835755.90416082,3124211.63293583,4076363.59106688
Fmult(2017) = 1.700,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.485867168043,1437322.58613792,3884093.66756684,4835755.90416082,3115627.40466206,4070613.64964709
Fmult(2017) = 1.710,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.488725210207958,1444134.02237759,3882643.76452857,4835755.90416082,3107053.69931453,4064877.82942566
Fmult(2017) = 1.720,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.491583252372917,1450929.1945119,3881194.53446565,4835755.90416082,3098490.61496357,4059156.09050507
Fmult(2017) = 1.730,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.494441294537876,1457708.14769997,3879745.97703963,4835755.90416082,3089938.24890422,4053448.39310659
Fmult(2017) = 1.740,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.497299336702835,1464470.92696796,3878298.09191223,4835755.90416082,3081396.69765635,4047754.69756988
Fmult(2017) = 1.750,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.500157378867794,1471217.5772095,3876850.87874535,4835755.90416082,3072866.05696488,4042074.9643526
Fmult(2017) = 1.760,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.503015421032753,1477948.14318602,3875404.33720106,4835755.90416082,3064346.42179997,4036409.15403012
Fmult(2017) = 1.770,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.505873463197711,1484662.66952723,3873958.46694163,4835755.90416082,3055837.88635729,4030757.22729507
